书名,出版社,价格
书名,出版社,价格
红楼梦, 59.70元, 人民文学出版社 
活着, 20.00元, 作家出版社 
百年孤独, 39.50元, 南海出版公司 
1984, 28.00, 北京十月文艺出版社 
飘, 40.00元, 译林出版社 
三体全集, 168.00元, 重庆出版社 
三国演义（全二册）, 39.50元, 人民文学出版社 
白夜行, 39.50元, 南海出版公司 
福尔摩斯探案全集（上中下）,68.00元, 1981-8 
房思琪的初恋乐园, 45.00元, 北京联合出版公司 
动物农场, 10.00元, 上海译文出版社 
小王子, 22.00元, 人民文学出版社 
天龙八部, 96.0, 生活.读书.新知三联书店 
撒哈拉的故事, 15.80元, 哈尔滨出版社 
安徒生童话故事集, 25.00元, 人民文学出版社 
哈利•波特, 498.00元, 人民文学出版社 
人类简史, CNY 68.00, 中信出版社 
沉默的大多数, 27.00元, 中国青年出版社 
围城, 19.00, 人民文学出版社 
平凡的世界（全三部）, 64.00元, 人民文学出版社 
霍乱时期的爱情, 39.50元, 南海出版公司 
明朝那些事儿（1-9）, 358.20元, 中国海关出版社 
局外人, 22.00元, 上海译文出版社 
杀死一只知更鸟, 32.00元, 译林出版社 
笑傲江湖（全四册）, 76.80元, 生活·读书·新知三联书店 
